
lambda=0.05

 Loss2=0.0266, LossMSE=3.5090, LossGram=2.8430,Loss_Full=0.3604, Time=0.2526
0110 00292 Loss1=0.0174, Lambda=2.75, Loss2=0.0264, LossMSE=3.0253, LossGram=3.1034,Loss_Full=0.3503, Time=0.2488
0110 00293 Loss1=0.0143, Lambda=2.75, Loss2=0.0266, LossMSE=2.9552, LossGram=3.5854,Loss_Full=0.3680, Time=0.2538
0110 00294 Loss1=0.0156, Lambda=2.75, Loss2=0.0270, LossMSE=3.4474, LossGram=3.2075,Loss_Full=0.3754, Time=0.2405
0110 00295 Loss1=0.0165, Lambda=2.75, Loss2=0.0265, LossMSE=2.7468, LossGram=3.3137,Loss_Full=0.3460, Time=0.2544
0110 00296 Loss1=0.0183, Lambda=2.75, Loss2=0.0271, LossMSE=3.5178, LossGram=2.9790,Loss_Full=0.3702, Time=0.2407
0110 00297 Loss1=0.0152, Lambda=2.75, Loss2=0.0270, LossMSE=3.5274, LossGram=3.7559,Loss_Full=0.4063, Time=0.2554
0110 00298 Loss1=0.0147, Lambda=2.75, Loss2=0.0266, LossMSE=2.6638, LossGram=3.5981,Loss_Full=0.3544, Time=0.2468
0110 00299 Loss1=0.0148, Lambda=2.75, Loss2=0.0267, LossMSE=3.0949, LossGram=3.3611,Loss_Full=0.3643, Time=0.2483
0110 00300 Loss1=0.0196, Lambda=2.75, Loss2=0.0268, LossMSE=3.3505, LossGram=2.6088,Loss_Full=0.3444, Time=0.2569
0110 00301 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=3.1596, LossGram=3.4663,Loss_Full=0.3724, Time=0.2417
0110 00302 Loss1=0.0156, Lambda=2.75, Loss2=0.0267, LossMSE=2.8910, LossGram=3.4285,Loss_Full=0.3583, Time=0.2520
0110 00303 Loss1=0.0154, Lambda=2.75, Loss2=0.0267, LossMSE=3.1086, LossGram=3.1866,Loss_Full=0.3569, Time=0.2546
0110 00304 Loss1=0.0150, Lambda=2.75, Loss2=0.0264, LossMSE=2.5781, LossGram=3.4808,Loss_Full=0.3443, Time=0.2425
0110 00305 Loss1=0.0173, Lambda=2.75, Loss2=0.0268, LossMSE=3.0081, LossGram=3.0725,Loss_Full=0.3481, Time=0.2524
0110 00306 Loss1=0.0162, Lambda=2.75, Loss2=0.0263, LossMSE=2.8015, LossGram=3.3187,Loss_Full=0.3485, Time=0.2397
0110 00307 Loss1=0.0190, Lambda=2.75, Loss2=0.0267, LossMSE=3.4242, LossGram=2.7494,Loss_Full=0.3543, Time=0.2591
0110 00308 Loss1=0.0157, Lambda=2.75, Loss2=0.0263, LossMSE=2.6682, LossGram=3.1861,Loss_Full=0.3347, Time=0.2485
0110 00309 Loss1=0.0143, Lambda=2.75, Loss2=0.0262, LossMSE=2.7883, LossGram=3.4920,Loss_Full=0.3546, Time=0.2426
0110 00310 Loss1=0.0156, Lambda=2.75, Loss2=0.0268, LossMSE=3.2175, LossGram=3.5226,Loss_Full=0.3794, Time=0.2388
0110 00311 Loss1=0.0152, Lambda=2.75, Loss2=0.0264, LossMSE=3.0699, LossGram=3.3879,Loss_Full=0.3645, Time=0.2519
0110 00312 Loss1=0.0167, Lambda=2.75, Loss2=0.0266, LossMSE=3.3467, LossGram=2.8185,Loss_Full=0.3515, Time=0.2574
0110 00313 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.1424, LossGram=3.2825,Loss_Full=0.3631, Time=0.2381
0110 00314 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=3.0121, LossGram=3.3377,Loss_Full=0.3593, Time=0.2606
0110 00315 Loss1=0.0181, Lambda=2.75, Loss2=0.0270, LossMSE=3.4454, LossGram=2.8383,Loss_Full=0.3593, Time=0.2390
0110 00316 Loss1=0.0184, Lambda=2.75, Loss2=0.0270, LossMSE=3.4103, LossGram=2.6814,Loss_Full=0.3499, Time=0.2371
0110 00317 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.1437, LossGram=3.4530,Loss_Full=0.3730, Time=0.2507
0110 00318 Loss1=0.0182, Lambda=2.75, Loss2=0.0271, LossMSE=3.3879, LossGram=3.0733,Loss_Full=0.3684, Time=0.2514
0110 00319 Loss1=0.0157, Lambda=2.75, Loss2=0.0267, LossMSE=3.0789, LossGram=3.5127,Loss_Full=0.3719, Time=0.2617
0110 00320 Loss1=0.0129, Lambda=2.75, Loss2=0.0265, LossMSE=2.6621, LossGram=3.9127,Loss_Full=0.3681, Time=0.2534
0110 00321 Loss1=0.0163, Lambda=2.75, Loss2=0.0268, LossMSE=2.8285, LossGram=3.1417,Loss_Full=0.3416, Time=0.2422
0110 00322 Loss1=0.0159, Lambda=2.75, Loss2=0.0265, LossMSE=2.8872, LossGram=3.5209,Loss_Full=0.3629, Time=0.2402
0110 00323 Loss1=0.0172, Lambda=2.75, Loss2=0.0267, LossMSE=2.7265, LossGram=3.7067,Loss_Full=0.3655, Time=0.2397
0110 00324 Loss1=0.0174, Lambda=2.75, Loss2=0.0269, LossMSE=3.2916, LossGram=3.0924,Loss_Full=0.3635, Time=0.2561
0110 00325 Loss1=0.0144, Lambda=2.75, Loss2=0.0268, LossMSE=3.0954, LossGram=3.6786,Loss_Full=0.3799, Time=0.2570
0110 00326 Loss1=0.0177, Lambda=2.75, Loss2=0.0269, LossMSE=3.4139, LossGram=2.6603,Loss_Full=0.3483, Time=0.2431
0110 00327 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=2.9651, LossGram=3.1392,Loss_Full=0.3477, Time=0.2547
0110 00328 Loss1=0.0182, Lambda=2.75, Loss2=0.0268, LossMSE=3.3269, LossGram=2.9536,Loss_Full=0.3590, Time=0.2409
0110 00329 Loss1=0.0147, Lambda=2.75, Loss2=0.0266, LossMSE=2.9763, LossGram=3.5216,Loss_Full=0.3663, Time=0.2442
0110 00330 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=3.2631, LossGram=3.2536,Loss_Full=0.3677, Time=0.2404
0110 00331 Loss1=0.0178, Lambda=2.75, Loss2=0.0265, LossMSE=3.0812, LossGram=2.6903,Loss_Full=0.3329, Time=0.2510
0110 00332 Loss1=0.0156, Lambda=2.75, Loss2=0.0265, LossMSE=3.1650, LossGram=2.9715,Loss_Full=0.3489, Time=0.2452
0110 00333 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.2538, LossGram=3.1410,Loss_Full=0.3629, Time=0.2453
0110 00334 Loss1=0.0164, Lambda=2.75, Loss2=0.0268, LossMSE=3.2374, LossGram=3.0111,Loss_Full=0.3556, Time=0.2410
0110 00335 Loss1=0.0146, Lambda=2.75, Loss2=0.0262, LossMSE=2.9946, LossGram=3.3111,Loss_Full=0.3561, Time=0.2453
0110 00336 Loss1=0.0146, Lambda=2.75, Loss2=0.0266, LossMSE=3.0379, LossGram=3.3399,Loss_Full=0.3600, Time=0.2253
0110 00337 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.0440, LossGram=3.0971,Loss_Full=0.3504, Time=0.2436
0110 00338 Loss1=0.0147, Lambda=2.75, Loss2=0.0265, LossMSE=3.0578, LossGram=3.0990,Loss_Full=0.3490, Time=0.2522
0110 00339 Loss1=0.0156, Lambda=2.75, Loss2=0.0263, LossMSE=3.1854, LossGram=2.8672,Loss_Full=0.3446, Time=0.2414
0110 00340 Loss1=0.0154, Lambda=2.75, Loss2=0.0264, LossMSE=3.2259, LossGram=3.0117,Loss_Full=0.3537, Time=0.2545
0110 00341 Loss1=0.0189, Lambda=2.75, Loss2=0.0265, LossMSE=3.4804, LossGram=2.4518,Loss_Full=0.3420, Time=0.2579
0110 00342 Loss1=0.0161, Lambda=2.75, Loss2=0.0265, LossMSE=3.0986, LossGram=2.9638,Loss_Full=0.3457, Time=0.2471
0110 00343 Loss1=0.0150, Lambda=2.75, Loss2=0.0264, LossMSE=2.8310, LossGram=3.4638,Loss_Full=0.3561, Time=0.2556
0110 00344 Loss1=0.0181, Lambda=2.75, Loss2=0.0268, LossMSE=3.3985, LossGram=2.9978,Loss_Full=0.3647, Time=0.2548
0110 00345 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=3.0362, LossGram=3.4630,Loss_Full=0.3667, Time=0.2474
0110 00346 Loss1=0.0155, Lambda=2.75, Loss2=0.0269, LossMSE=3.2215, LossGram=3.5750,Loss_Full=0.3821, Time=0.2415
0110 00347 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=2.6145, LossGram=3.6275,Loss_Full=0.3537, Time=0.2399
0110 00348 Loss1=0.0171, Lambda=2.75, Loss2=0.0266, LossMSE=2.8299, LossGram=3.2891,Loss_Full=0.3497, Time=0.2528
0110 00349 Loss1=0.0162, Lambda=2.75, Loss2=0.0269, LossMSE=3.2173, LossGram=3.5039,Loss_Full=0.3792, Time=0.2530
0110 00350 Loss1=0.0165, Lambda=2.75, Loss2=0.0269, LossMSE=2.9424, LossGram=3.0935,Loss_Full=0.3452, Time=0.2528
0110 00351 Loss1=0.0164, Lambda=2.75, Loss2=0.0267, LossMSE=3.3437, LossGram=3.1421,Loss_Full=0.3674, Time=0.2578
0110 00352 Loss1=0.0151, Lambda=2.75, Loss2=0.0266, LossMSE=3.2865, LossGram=3.3136,Loss_Full=0.3717, Time=0.2381
0110 00353 Loss1=0.0151, Lambda=2.75, Loss2=0.0265, LossMSE=3.0414, LossGram=3.3765,Loss_Full=0.3625, Time=0.2533
0110 00354 Loss1=0.0186, Lambda=2.75, Loss2=0.0269, LossMSE=3.5931, LossGram=2.7362,Loss_Full=0.3620, Time=0.2344
0110 00355 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=2.9963, LossGram=2.9268,Loss_Full=0.3380, Time=0.2491
0110 00356 Loss1=0.0149, Lambda=2.75, Loss2=0.0266, LossMSE=3.2320, LossGram=3.4161,Loss_Full=0.3739, Time=0.2494
0110 00357 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=3.2636, LossGram=2.8682,Loss_Full=0.3492, Time=0.2212
0110 00358 Loss1=0.0159, Lambda=2.75, Loss2=0.0265, LossMSE=2.7482, LossGram=3.4322,Loss_Full=0.3514, Time=0.2620
0110 00359 Loss1=0.0159, Lambda=2.75, Loss2=0.0268, LossMSE=3.1587, LossGram=3.3852,Loss_Full=0.3698, Time=0.2506
0110 00360 Loss1=0.0152, Lambda=2.75, Loss2=0.0264, LossMSE=3.0347, LossGram=3.1809,Loss_Full=0.3524, Time=0.2540
0110 00361 Loss1=0.0170, Lambda=2.75, Loss2=0.0265, LossMSE=3.3448, LossGram=2.9617,Loss_Full=0.3588, Time=0.2506
0110 00362 Loss1=0.0172, Lambda=2.75, Loss2=0.0269, LossMSE=3.2564, LossGram=3.1968,Loss_Full=0.3668, Time=0.2299
0110 00363 Loss1=0.0183, Lambda=2.75, Loss2=0.0266, LossMSE=2.8248, LossGram=3.3922,Loss_Full=0.3558, Time=0.2509
0110 00364 Loss1=0.0148, Lambda=2.75, Loss2=0.0267, LossMSE=2.8770, LossGram=3.5845,Loss_Full=0.3647, Time=0.2423
