系数为都为1

da=2.75, Loss2=0.0270, LossMSE=3.2928, LossGram=2.7760,Loss_Full=6.1149, Time=0.2549
0110 00292 Loss1=0.0176, Lambda=2.75, Loss2=0.0267, LossMSE=3.2292, LossGram=2.8256,Loss_Full=6.0990, Time=0.2543
0110 00293 Loss1=0.0176, Lambda=2.75, Loss2=0.0268, LossMSE=3.2854, LossGram=3.1732,Loss_Full=6.5030, Time=0.2558
0110 00294 Loss1=0.0174, Lambda=2.75, Loss2=0.0266, LossMSE=3.2248, LossGram=2.9764,Loss_Full=6.2451, Time=0.2542
0110 00295 Loss1=0.0146, Lambda=2.75, Loss2=0.0265, LossMSE=2.9579, LossGram=3.4282,Loss_Full=6.4273, Time=0.2623
0110 00296 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.1326, LossGram=3.3062,Loss_Full=6.4813, Time=0.2304
0110 00297 Loss1=0.0144, Lambda=2.75, Loss2=0.0262, LossMSE=2.8385, LossGram=3.4781,Loss_Full=6.3572, Time=0.2689
0110 00298 Loss1=0.0158, Lambda=2.75, Loss2=0.0264, LossMSE=3.2285, LossGram=3.1698,Loss_Full=6.4404, Time=0.2565
0110 00299 Loss1=0.0198, Lambda=2.75, Loss2=0.0264, LossMSE=3.0989, LossGram=2.5609,Loss_Full=5.7060, Time=0.2545
0110 00300 Loss1=0.0167, Lambda=2.75, Loss2=0.0265, LossMSE=3.3782, LossGram=2.7173,Loss_Full=6.1388, Time=0.2429
0110 00301 Loss1=0.0169, Lambda=2.75, Loss2=0.0261, LossMSE=2.9361, LossGram=3.0836,Loss_Full=6.0627, Time=0.2612
0110 00302 Loss1=0.0143, Lambda=2.75, Loss2=0.0263, LossMSE=3.0642, LossGram=3.1667,Loss_Full=6.2715, Time=0.2542
0110 00303 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=3.1217, LossGram=3.1934,Loss_Full=6.3570, Time=0.2600
0110 00304 Loss1=0.0149, Lambda=2.75, Loss2=0.0264, LossMSE=2.7943, LossGram=3.5316,Loss_Full=6.3672, Time=0.2523
0110 00305 Loss1=0.0186, Lambda=2.75, Loss2=0.0267, LossMSE=3.6221, LossGram=2.4796,Loss_Full=6.1470, Time=0.2564
0110 00306 Loss1=0.0142, Lambda=2.75, Loss2=0.0265, LossMSE=2.9430, LossGram=3.3792,Loss_Full=6.3629, Time=0.2577
0110 00307 Loss1=0.0165, Lambda=2.75, Loss2=0.0263, LossMSE=3.1701, LossGram=2.8122,Loss_Full=6.0251, Time=0.2523
0110 00308 Loss1=0.0180, Lambda=2.75, Loss2=0.0266, LossMSE=3.0901, LossGram=2.9866,Loss_Full=6.1213, Time=0.2553
0110 00309 Loss1=0.0155, Lambda=2.75, Loss2=0.0266, LossMSE=3.0630, LossGram=3.2444,Loss_Full=6.3495, Time=0.2553
0110 00310 Loss1=0.0129, Lambda=2.75, Loss2=0.0265, LossMSE=2.7716, LossGram=3.9881,Loss_Full=6.7991, Time=0.2599
0110 00311 Loss1=0.0151, Lambda=2.75, Loss2=0.0264, LossMSE=3.2645, LossGram=3.1613,Loss_Full=6.4672, Time=0.2513
0110 00312 Loss1=0.0172, Lambda=2.75, Loss2=0.0264, LossMSE=3.1615, LossGram=2.9423,Loss_Full=6.1473, Time=0.2406
0110 00313 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=3.2362, LossGram=3.5736,Loss_Full=6.8515, Time=0.2547
0110 00314 Loss1=0.0170, Lambda=2.75, Loss2=0.0262, LossMSE=2.9840, LossGram=3.1223,Loss_Full=6.1495, Time=0.2514
0110 00315 Loss1=0.0162, Lambda=2.75, Loss2=0.0263, LossMSE=3.2346, LossGram=2.9839,Loss_Full=6.2609, Time=0.2561
0110 00316 Loss1=0.0144, Lambda=2.75, Loss2=0.0266, LossMSE=3.0059, LossGram=3.5788,Loss_Full=6.6257, Time=0.2466
0110 00317 Loss1=0.0162, Lambda=2.75, Loss2=0.0265, LossMSE=3.2367, LossGram=3.3362,Loss_Full=6.6156, Time=0.2611
0110 00318 Loss1=0.0157, Lambda=2.75, Loss2=0.0264, LossMSE=3.1376, LossGram=2.9863,Loss_Full=6.1660, Time=0.2397
0110 00319 Loss1=0.0146, Lambda=2.75, Loss2=0.0263, LossMSE=2.9593, LossGram=3.3620,Loss_Full=6.3622, Time=0.2395
0110 00320 Loss1=0.0156, Lambda=2.75, Loss2=0.0264, LossMSE=3.2846, LossGram=3.0132,Loss_Full=6.3398, Time=0.2399
0110 00321 Loss1=0.0165, Lambda=2.75, Loss2=0.0264, LossMSE=3.2836, LossGram=2.8461,Loss_Full=6.1727, Time=0.2591
0110 00322 Loss1=0.0148, Lambda=2.75, Loss2=0.0264, LossMSE=2.9120, LossGram=3.2777,Loss_Full=6.2309, Time=0.2493
0110 00323 Loss1=0.0181, Lambda=2.75, Loss2=0.0264, LossMSE=3.4321, LossGram=2.3306,Loss_Full=5.8072, Time=0.2570
0110 00324 Loss1=0.0152, Lambda=2.75, Loss2=0.0265, LossMSE=3.3395, LossGram=3.0918,Loss_Full=6.4730, Time=0.2361
0110 00325 Loss1=0.0192, Lambda=2.75, Loss2=0.0267, LossMSE=3.4974, LossGram=2.5203,Loss_Full=6.0635, Time=0.2559
0110 00326 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.2704, LossGram=2.9764,Loss_Full=6.2900, Time=0.2395
0110 00327 Loss1=0.0155, Lambda=2.75, Loss2=0.0263, LossMSE=2.6674, LossGram=3.3156,Loss_Full=6.0247, Time=0.2505
0110 00328 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=2.8999, LossGram=3.0941,Loss_Full=6.0379, Time=0.2546
0110 00329 Loss1=0.0145, Lambda=2.75, Loss2=0.0266, LossMSE=2.8747, LossGram=3.6841,Loss_Full=6.5999, Time=0.2521
0110 00330 Loss1=0.0148, Lambda=2.75, Loss2=0.0266, LossMSE=3.2187, LossGram=3.5037,Loss_Full=6.7638, Time=0.2486
0110 00331 Loss1=0.0207, Lambda=2.75, Loss2=0.0272, LossMSE=2.9796, LossGram=2.7499,Loss_Full=5.7773, Time=0.2521
0110 00332 Loss1=0.0161, Lambda=2.75, Loss2=0.0267, LossMSE=3.3149, LossGram=3.2130,Loss_Full=6.5707, Time=0.2551
0110 00333 Loss1=0.0154, Lambda=2.75, Loss2=0.0266, LossMSE=3.1420, LossGram=3.5212,Loss_Full=6.7053, Time=0.2462
0110 00334 Loss1=0.0194, Lambda=2.75, Loss2=0.0271, LossMSE=3.1274, LossGram=3.1856,Loss_Full=6.3596, Time=0.2349
0110 00335 Loss1=0.0149, Lambda=2.75, Loss2=0.0269, LossMSE=3.2593, LossGram=3.5405,Loss_Full=6.8415, Time=0.2534
0110 00336 Loss1=0.0151, Lambda=2.75, Loss2=0.0269, LossMSE=3.1825, LossGram=3.2789,Loss_Full=6.5034, Time=0.2580
0110 00337 Loss1=0.0166, Lambda=2.75, Loss2=0.0270, LossMSE=3.3705, LossGram=3.1340,Loss_Full=6.5481, Time=0.2392
0110 00338 Loss1=0.0192, Lambda=2.75, Loss2=0.0269, LossMSE=3.1655, LossGram=2.8483,Loss_Full=6.0598, Time=0.2487
0110 00339 Loss1=0.0164, Lambda=2.75, Loss2=0.0267, LossMSE=3.3109, LossGram=3.1462,Loss_Full=6.5002, Time=0.2606
0110 00340 Loss1=0.0135, Lambda=2.75, Loss2=0.0267, LossMSE=3.2240, LossGram=3.7783,Loss_Full=7.0425, Time=0.2447
0110 00341 Loss1=0.0163, Lambda=2.75, Loss2=0.0269, LossMSE=3.5580, LossGram=3.0255,Loss_Full=6.6266, Time=0.2391
0110 00342 Loss1=0.0174, Lambda=2.75, Loss2=0.0267, LossMSE=3.0751, LossGram=3.2588,Loss_Full=6.3780, Time=0.2528
0110 00343 Loss1=0.0148, Lambda=2.75, Loss2=0.0267, LossMSE=3.0648, LossGram=3.5960,Loss_Full=6.7022, Time=0.2407
0110 00344 Loss1=0.0144, Lambda=2.75, Loss2=0.0262, LossMSE=2.8695, LossGram=3.2560,Loss_Full=6.1661, Time=0.2409
0110 00345 Loss1=0.0149, Lambda=2.75, Loss2=0.0265, LossMSE=3.0175, LossGram=3.4275,Loss_Full=6.4864, Time=0.2409
0110 00346 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.1830, LossGram=2.9726,Loss_Full=6.1988, Time=0.2630
0110 00347 Loss1=0.0140, Lambda=2.75, Loss2=0.0261, LossMSE=2.7114, LossGram=3.3972,Loss_Full=6.1487, Time=0.2393
0110 00348 Loss1=0.0151, Lambda=2.75, Loss2=0.0262, LossMSE=3.0712, LossGram=3.0863,Loss_Full=6.1988, Time=0.2544
0110 00349 Loss1=0.0155, Lambda=2.75, Loss2=0.0262, LossMSE=3.0077, LossGram=3.1670,Loss_Full=6.2164, Time=0.2419
0110 00350 Loss1=0.0153, Lambda=2.75, Loss2=0.0261, LossMSE=2.8052, LossGram=3.3319,Loss_Full=6.1784, Time=0.2559
0110 00351 Loss1=0.0173, Lambda=2.75, Loss2=0.0264, LossMSE=3.0653, LossGram=2.8322,Loss_Full=5.9412, Time=0.2535
0110 00352 Loss1=0.0153, Lambda=2.75, Loss2=0.0264, LossMSE=3.0397, LossGram=3.3064,Loss_Full=6.3878, Time=0.2477
0110 00353 Loss1=0.0190, Lambda=2.75, Loss2=0.0267, LossMSE=3.2749, LossGram=2.5357,Loss_Full=5.8563, Time=0.2510
0110 00354 Loss1=0.0149, Lambda=2.75, Loss2=0.0264, LossMSE=2.9904, LossGram=3.0562,Loss_Full=6.0879, Time=0.2409
0110 00355 Loss1=0.0156, Lambda=2.75, Loss2=0.0265, LossMSE=3.1650, LossGram=3.1929,Loss_Full=6.4000, Time=0.2550
0110 00356 Loss1=0.0160, Lambda=2.75, Loss2=0.0264, LossMSE=3.1132, LossGram=3.2405,Loss_Full=6.3962, Time=0.2394
0110 00357 Loss1=0.0163, Lambda=2.75, Loss2=0.0264, LossMSE=3.3542, LossGram=2.8272,Loss_Full=6.2242, Time=0.2639
0110 00358 Loss1=0.0144, Lambda=2.75, Loss2=0.0265, LossMSE=3.0717, LossGram=3.2720,Loss_Full=6.3846, Time=0.2385
0110 00359 Loss1=0.0174, Lambda=2.75, Loss2=0.0266, LossMSE=3.3890, LossGram=2.7986,Loss_Full=6.2316, Time=0.2439
0110 00360 Loss1=0.0165, Lambda=2.75, Loss2=0.0267, LossMSE=3.2409, LossGram=3.1045,Loss_Full=6.3885, Time=0.2547
0110 00361 Loss1=0.0157, Lambda=2.75, Loss2=0.0266, LossMSE=3.0829, LossGram=3.3055,Loss_Full=6.4308, Time=0.2626
0110 00362 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=2.9870, LossGram=3.0605,Loss_Full=6.0900, Time=0.2602
