lamda3=0.1

5, Loss2=0.0267, LossMSE=3.2610, LossGram=3.7285,Loss_Full=0.7402, Time=0.2415
0110 00292 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.1813, LossGram=3.0484,Loss_Full=0.6652, Time=0.2424
0110 00293 Loss1=0.0164, Lambda=2.75, Loss2=0.0267, LossMSE=3.2714, LossGram=2.9888,Loss_Full=0.6691, Time=0.2356
0110 00294 Loss1=0.0152, Lambda=2.75, Loss2=0.0269, LossMSE=3.3701, LossGram=3.1214,Loss_Full=0.6913, Time=0.2504
0110 00295 Loss1=0.0171, Lambda=2.75, Loss2=0.0268, LossMSE=3.2577, LossGram=2.9387,Loss_Full=0.6636, Time=0.2533
0110 00296 Loss1=0.0152, Lambda=2.75, Loss2=0.0268, LossMSE=3.4485, LossGram=3.1695,Loss_Full=0.7038, Time=0.2558
0110 00297 Loss1=0.0187, Lambda=2.75, Loss2=0.0268, LossMSE=3.2750, LossGram=2.3971,Loss_Full=0.6126, Time=0.2628
0110 00298 Loss1=0.0145, Lambda=2.75, Loss2=0.0264, LossMSE=3.0194, LossGram=3.3572,Loss_Full=0.6786, Time=0.2546
0110 00299 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.4953, LossGram=3.0575,Loss_Full=0.6985, Time=0.2555
0110 00300 Loss1=0.0160, Lambda=2.75, Loss2=0.0267, LossMSE=3.2543, LossGram=2.9499,Loss_Full=0.6632, Time=0.2595
0110 00301 Loss1=0.0153, Lambda=2.75, Loss2=0.0267, LossMSE=3.2576, LossGram=3.2686,Loss_Full=0.6946, Time=0.2475
0110 00302 Loss1=0.0148, Lambda=2.75, Loss2=0.0269, LossMSE=3.2460, LossGram=3.1737,Loss_Full=0.6837, Time=0.2496
0110 00303 Loss1=0.0160, Lambda=2.75, Loss2=0.0269, LossMSE=3.1053, LossGram=3.2020,Loss_Full=0.6736, Time=0.2379
0110 00304 Loss1=0.0158, Lambda=2.75, Loss2=0.0270, LossMSE=3.6077, LossGram=3.3678,Loss_Full=0.7404, Time=0.2593
0110 00305 Loss1=0.0160, Lambda=2.75, Loss2=0.0270, LossMSE=3.4677, LossGram=3.0484,Loss_Full=0.6946, Time=0.2497
0110 00306 Loss1=0.0171, Lambda=2.75, Loss2=0.0265, LossMSE=3.2725, LossGram=2.7311,Loss_Full=0.6440, Time=0.2396
0110 00307 Loss1=0.0151, Lambda=2.75, Loss2=0.0266, LossMSE=2.7752, LossGram=3.6345,Loss_Full=0.6827, Time=0.2549
0110 00308 Loss1=0.0187, Lambda=2.75, Loss2=0.0271, LossMSE=3.2206, LossGram=3.3120,Loss_Full=0.6990, Time=0.2569
0110 00309 Loss1=0.0183, Lambda=2.75, Loss2=0.0264, LossMSE=3.1356, LossGram=2.6592,Loss_Full=0.6242, Time=0.2578
0110 00310 Loss1=0.0145, Lambda=2.75, Loss2=0.0264, LossMSE=2.9337, LossGram=3.1805,Loss_Full=0.6523, Time=0.2500
0110 00311 Loss1=0.0147, Lambda=2.75, Loss2=0.0265, LossMSE=3.0604, LossGram=3.4463,Loss_Full=0.6919, Time=0.2537
