 lamda =0.06


 Loss2=0.0267, LossMSE=3.3019, LossGram=3.3932,Loss_Full=0.4440, Time=0.2503
0110 00292 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=3.0445, LossGram=3.1523,Loss_Full=0.4135, Time=0.2375
0110 00293 Loss1=0.0164, Lambda=2.75, Loss2=0.0263, LossMSE=3.2198, LossGram=2.9454,Loss_Full=0.4127, Time=0.2580
0110 00294 Loss1=0.0142, Lambda=2.75, Loss2=0.0266, LossMSE=2.9901, LossGram=3.6242,Loss_Full=0.4377, Time=0.2427
0110 00295 Loss1=0.0157, Lambda=2.75, Loss2=0.0265, LossMSE=3.3295, LossGram=3.0218,Loss_Full=0.4233, Time=0.2685
0110 00296 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.1410, LossGram=3.1475,Loss_Full=0.4205, Time=0.2472
0110 00297 Loss1=0.0142, Lambda=2.75, Loss2=0.0265, LossMSE=2.9589, LossGram=3.5059,Loss_Full=0.4286, Time=0.2537
0110 00298 Loss1=0.0158, Lambda=2.75, Loss2=0.0265, LossMSE=3.1402, LossGram=3.1972,Loss_Full=0.4225, Time=0.2515
0110 00299 Loss1=0.0173, Lambda=2.75, Loss2=0.0267, LossMSE=3.1075, LossGram=3.0074,Loss_Full=0.4109, Time=0.2420
0110 00300 Loss1=0.0181, Lambda=2.75, Loss2=0.0268, LossMSE=3.6672, LossGram=2.8172,Loss_Full=0.4340, Time=0.2538
0110 00301 Loss1=0.0148, Lambda=2.75, Loss2=0.0264, LossMSE=3.1367, LossGram=3.3517,Loss_Full=0.4305, Time=0.2490
0110 00302 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.2864, LossGram=3.1302,Loss_Full=0.4287, Time=0.2388
0110 00303 Loss1=0.0161, Lambda=2.75, Loss2=0.0268, LossMSE=3.4373, LossGram=3.0592,Loss_Full=0.4327, Time=0.2537
0110 00304 Loss1=0.0139, Lambda=2.75, Loss2=0.0266, LossMSE=2.8238, LossGram=3.6320,Loss_Full=0.4278, Time=0.2425
0110 00305 Loss1=0.0137, Lambda=2.75, Loss2=0.0266, LossMSE=2.7617, LossGram=3.6590,Loss_Full=0.4256, Time=0.2310
0110 00306 Loss1=0.0150, Lambda=2.75, Loss2=0.0263, LossMSE=2.6420, LossGram=3.8363,Loss_Full=0.4300, Time=0.2730
0110 00307 Loss1=0.0159, Lambda=2.75, Loss2=0.0267, LossMSE=3.2446, LossGram=3.2139,Loss_Full=0.4301, Time=0.2334
0110 00308 Loss1=0.0174, Lambda=2.75, Loss2=0.0269, LossMSE=3.2116, LossGram=3.1547,Loss_Full=0.4262, Time=0.2305
0110 00309 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=3.1865, LossGram=3.2716,Loss_Full=0.4293, Time=0.2570
0110 00310 Loss1=0.0136, Lambda=2.75, Loss2=0.0264, LossMSE=2.8847, LossGram=3.4540,Loss_Full=0.4204, Time=0.2567
0110 00311 Loss1=0.0184, Lambda=2.75, Loss2=0.0268, LossMSE=3.0928, LossGram=2.8471,Loss_Full=0.4016, Time=0.2525
0110 00312 Loss1=0.0153, Lambda=2.75, Loss2=0.0264, LossMSE=3.0315, LossGram=2.9604,Loss_Full=0.4013, Time=0.2566
0110 00313 Loss1=0.0142, Lambda=2.75, Loss2=0.0264, LossMSE=3.0719, LossGram=3.3054,Loss_Full=0.4233, Time=0.2528
0110 00314 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.2686, LossGram=3.0242,Loss_Full=0.4198, Time=0.2591
0110 00315 Loss1=0.0171, Lambda=2.75, Loss2=0.0266, LossMSE=3.5006, LossGram=2.8054,Loss_Full=0.4221, Time=0.2519
0110 00316 Loss1=0.0163, Lambda=2.75, Loss2=0.0268, LossMSE=3.4213, LossGram=2.7797,Loss_Full=0.4152, Time=0.2485
0110 00317 Loss1=0.0162, Lambda=2.75, Loss2=0.0266, LossMSE=3.1015, LossGram=3.4743,Loss_Full=0.4373, Time=0.2600
0110 00318 Loss1=0.0169, Lambda=2.75, Loss2=0.0266, LossMSE=2.7675, LossGram=3.0879,Loss_Full=0.3948, Time=0.2522
0110 00319 Loss1=0.0180, Lambda=2.75, Loss2=0.0270, LossMSE=3.6849, LossGram=2.7380,Loss_Full=0.4303, Time=0.2703
0110 00320 Loss1=0.0125, Lambda=2.75, Loss2=0.0264, LossMSE=2.5457, LossGram=4.2222,Loss_Full=0.4450, Time=0.2468
0110 00321 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.4023, LossGram=3.1834,Loss_Full=0.4389, Time=0.2428
0110 00322 Loss1=0.0160, Lambda=2.75, Loss2=0.0264, LossMSE=3.1839, LossGram=3.0022,Loss_Full=0.4136, Time=0.2354
0110 00323 Loss1=0.0169, Lambda=2.75, Loss2=0.0266, LossMSE=3.1918, LossGram=2.9346,Loss_Full=0.4111, Time=0.2480
0110 00324 Loss1=0.0154, Lambda=2.75, Loss2=0.0268, LossMSE=3.3716, LossGram=3.2525,Loss_Full=0.4396, Time=0.2659
0110 00325 Loss1=0.0164, Lambda=2.75, Loss2=0.0268, LossMSE=3.2559, LossGram=3.4840,Loss_Full=0.4476, Time=0.2559
0110 00326 Loss1=0.0185, Lambda=2.75, Loss2=0.0271, LossMSE=3.5510, LossGram=2.7881,Loss_Full=0.4260, Time=0.2658
0110 00327 Loss1=0.0184, Lambda=2.75, Loss2=0.0271, LossMSE=3.4097, LossGram=2.7384,Loss_Full=0.4144, Time=0.2534
0110 00328 Loss1=0.0166, Lambda=2.75, Loss2=0.0266, LossMSE=3.1771, LossGram=2.9491,Loss_Full=0.4107, Time=0.2594
0110 00329 Loss1=0.0178, Lambda=2.75, Loss2=0.0270, LossMSE=3.5001, LossGram=2.7946,Loss_Full=0.4225, Time=0.2486
0110 00330 Loss1=0.0166, Lambda=2.75, Loss2=0.0267, LossMSE=3.2810, LossGram=3.0681,Loss_Full=0.4243, Time=0.2306
0110 00331 Loss1=0.0146, Lambda=2.75, Loss2=0.0267, LossMSE=2.9671, LossGram=3.7275,Loss_Full=0.4430, Time=0.2496
0110 00332 Loss1=0.0163, Lambda=2.75, Loss2=0.0265, LossMSE=3.0234, LossGram=3.0191,Loss_Full=0.4053, Time=0.2432
0110 00333 Loss1=0.0158, Lambda=2.75, Loss2=0.0269, LossMSE=3.3657, LossGram=3.1842,Loss_Full=0.4357, Time=0.2273
0110 00334 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.2248, LossGram=2.9872,Loss_Full=0.4164, Time=0.2602
0110 00335 Loss1=0.0191, Lambda=2.75, Loss2=0.0270, LossMSE=3.2603, LossGram=3.0505,Loss_Full=0.4248, Time=0.2673
